,build_year,lat,lng,total_building,total_house,wy_fee
2157,0,106.527189,29.581037,1,396,0.0
2158,2010,106.516214,29.578442,21,570,0.0
2159,2009,106.527189,29.581037,17,1144,0.8
2160,0,106.527324,29.593026,2,1223,0.0
2161,2012,106.506063,29.57726,87,1009,2.8
2162,2005,106.549642,29.587637,5,1822,0.0
2163,2009,106.527189,29.581037,2,1980,0.0
2164,0,106.543372,29.566124,1,180,1.2
2165,0,106.527189,29.581037,2,378,0.0
2166,2006,106.543372,29.566124,2,1600,1.2
2167,2006,106.543372,29.566124,2,1600,1.2
2168,2009,106.527189,29.581037,2,1980,0.0
2169,2009,106.527189,29.581037,5,1902,1.8
2170,2007,106.548901,29.577621,6,1654,0.0
2171,2010,106.516214,29.578442,21,570,0.0
2172,0,0,0,2,384,0.0
2173,0,106.543372,29.566124,1,180,1.2
2174,2011,106.548901,29.577621,12,3248,1.8
2175,2006,106.54233,29.564769,7,1127,1.2
2176,2006,106.54233,29.564769,7,1127,1.2
2177,2009,106.527189,29.581037,17,1144,0.8
2178,2014,106.516214,29.578442,6,1272,1.8
2179,2009,106.527189,29.581037,5,1902,1.8
2180,0,0,0,6,652,0.0
2181,2006,106.54233,29.564769,7,1127,1.2
2182,2009,106.527189,29.581037,5,1902,1.8
2183,0,106.527189,29.581037,1,396,0.0
2184,2010,106.516214,29.578442,21,570,0.0
2185,2009,106.527189,29.581037,17,1144,0.8
2186,0,106.527324,29.593026,2,1223,0.0
2187,2012,106.506063,29.57726,87,1009,2.8
2188,2005,106.549642,29.587637,5,1822,0.0
2189,2009,106.527189,29.581037,2,1980,0.0
2190,0,106.543372,29.566124,1,180,1.2
2191,0,106.527189,29.581037,2,378,0.0
2192,2006,106.543372,29.566124,2,1600,1.2
2193,2006,106.543372,29.566124,2,1600,1.2
2194,2009,106.527189,29.581037,2,1980,0.0
2195,2009,106.527189,29.581037,5,1902,1.8
2196,2007,106.548901,29.577621,6,1654,0.0
2197,2010,106.516214,29.578442,21,570,0.0
2198,0,0,0,2,384,0.0
2199,0,106.543372,29.566124,1,180,1.2
2200,2011,106.548901,29.577621,12,3248,1.8
